version,Participant Private ID,condition,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Response,Correct,Reaction Time
18,13328943.0,condition-2,3.0,v7,visual,v7hh-boNyari.mp4,v7kk-kiritto.mp4,v7kk-kiritto.mp4,"crisp appearance, stiffly",v7kk-kiritto.mp4,1,25476.39999999973
18,13328943.0,condition-2,4.0,a5,auditory,a5kk-dotabata.mp4,a5hh-sororisorori.mp4,a5kk-dotabata.mp4,"noisily, with heavy feet",a5hh-sororisorori.mp4,0,16041.799999999696
18,13328943.0,condition-2,5.0,v9,visual,v9hh-mukumuku.mp4,v9kk-bosabosa.mp4,v9kk-bosabosa.mp4,"ruffled, disheveled",v9kk-bosabosa.mp4,1,97432.1999999999
18,13328943.0,condition-2,6.0,a0,auditory,a0kk-katakata.mp4,a0hh-gosogoso.mp4,a0hh-gosogoso.mp4,with a rustling sound,a0kk-katakata.mp4,0,31308.899999999907
18,13328943.0,condition-2,7.0,a1,auditory,a1kk-batyabatya.mp4,a1hh-sitosito.mp4,a1kk-batyabatya.mp4,splashing,a1kk-batyabatya.mp4,1,26327.299999999697
18,13328943.0,condition-2,8.0,i9,interoceptive,i9hh-yuttari.mp4,i9kk-dokidoki.mp4,i9kk-dokidoki.mp4,with a rapid heartbeat,i9kk-dokidoki.mp4,1,12290.799999999988
18,13328943.0,condition-2,9.0,i2,interoceptive,i2hh-syoboN.mp4,i2kk-ruNruN.mp4,i2hh-syoboN.mp4,"downhearted, dejected",i2hh-syoboN.mp4,1,28643.29999999999
18,13328943.0,condition-2,10.0,i8,interoceptive,i8kk-dokiri.mp4,i8hh-hotto.mp4,i8hh-hotto.mp4,with a feeling of relief,i8kk-dokiri.mp4,0,20998.39999999979
18,13328943.0,condition-2,11.0,a8,auditory,a8hh-bosori.mp4,a8kk-kyaakyaa.mp4,a8hh-bosori.mp4,"in a whisper, in a murmur",a8hh-bosori.mp4,1,41523.90000000014
18,13328943.0,condition-2,12.0,v0,visual,v0hh-kukkiri.mp4,v0kk-tiratira.mp4,v0hh-kukkiri.mp4,"clearly, distinctly, sharply",v0hh-kukkiri.mp4,1,25077.899999999907
18,13328943.0,condition-2,13.0,i5,interoceptive,i5kk-harahara.mp4,i5hh-nobinobi.mp4,i5kk-harahara.mp4,"anxious, nervous",i5kk-harahara.mp4,1,21745.899999999678
18,13328943.0,condition-2,14.0,i0,interoceptive,i0hh-uNzari.mp4,i0kk-wakuwaku.mp4,i0hh-uNzari.mp4,"boredom, tedious, fed up with",i0hh-uNzari.mp4,1,18789.40000000014
18,13328943.0,condition-2,15.0,a4,auditory,a4hh-zuruzuru.mp4,a4kk-poripori.mp4,a4hh-zuruzuru.mp4,with a slurp,a4hh-zuruzuru.mp4,1,15041.199999999952
18,13328943.0,condition-2,16.0,i3,interoceptive,i3kk-iraira.mp4,i3hh-sukkiri.mp4,i3kk-iraira.mp4,"to get irritated, annoyed",i3kk-iraira.mp4,1,19585.099999999977
18,13328943.0,condition-2,17.0,v1,visual,v1hh-kurikuri.mp4,v1kk-gizagiza.mp4,v1kk-gizagiza.mp4,"jagged, serrated",v1kk-gizagiza.mp4,1,23032.099999999744
18,13328943.0,condition-2,18.0,v2,visual,v2kk-kirakira.mp4,v2hh-doNyori.mp4,v2hh-doNyori.mp4,"dark, gloomy",v2hh-doNyori.mp4,1,12910.000000000116
18,13328943.0,condition-2,19.0,v8,visual,v8hh-marumaru.mp4,v8kk-garigari.mp4,v8hh-marumaru.mp4,"plump, rotund, chubby",v8hh-marumaru.mp4,1,33131.59999999998
18,13328943.0,condition-2,20.0,i7,interoceptive,i7hh-hokkori.mp4,i7kk-zokuzoku.mp4,i7kk-zokuzoku.mp4,"shivering, feeling chilly",i7kk-zokuzoku.mp4,1,15164.899999999674
18,13328943.0,condition-2,21.0,v5,visual,v5kk-nikoniko.mp4,v5hh-busuri.mp4,v5kk-nikoniko.mp4,"smilingly, with a grin",v5hh-busuri.mp4,0,34839.70000000007
18,13328943.0,condition-2,22.0,i4,interoceptive,i4hh-tyaNto.mp4,i4kk-dogimagi.mp4,i4hh-tyaNto.mp4,"attentive, proper attitude",i4hh-tyaNto.mp4,1,28746.40000000014
18,13328943.0,condition-2,23.0,v3,visual,v3hh-pitari.mp4,v3kk-hirahira.mp4,v3kk-hirahira.mp4,"fluttering, dangling",v3kk-hirahira.mp4,1,21703.699999999957
18,13328943.0,condition-2,24.0,v4,visual,v4kk-barabara.mp4,v4hh-bissiri.mp4,v4hh-bissiri.mp4,"closely lined up, densely",v4hh-bissiri.mp4,1,18812.20000000007
18,13328943.0,condition-2,25.0,i6,interoceptive,i6kk-girigiri.mp4,i6hh-noNbiri.mp4,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner",i6kk-girigiri.mp4,0,32141.499999999767
18,13328943.0,condition-2,26.0,a2,auditory,a2hh-zyaazyaa.mp4,a2kk-potapota.mp4,a2hh-zyaazyaa.mp4,noisily gushing,a2hh-zyaazyaa.mp4,1,38889.80000000005
18,13328943.0,condition-2,27.0,a9,auditory,a9hh-mogomogo.mp4,a9kk-sakutto.mp4,a9kk-sakutto.mp4,with a crunch,a9kk-sakutto.mp4,1,29445.899999999907
18,13328943.0,condition-2,28.0,v6,visual,v6hh-huNwari.mp4,v6kk-gotugotu.mp4,v6hh-huNwari.mp4,"gently, airily, fluffy",v6hh-huNwari.mp4,1,42974.09999999986
18,13328943.0,condition-2,29.0,a3,auditory,a3kk-syakisyaki.mp4,a3hh-ziriziri.mp4,a3kk-syakisyaki.mp4,"crisp, crunchy",a3kk-syakisyaki.mp4,1,82600.19999999995
18,13328943.0,condition-2,30.0,i1,interoceptive,i1hh-geNnari.mp4,i1kk-gatugatu.mp4,i1kk-gatugatu.mp4,"ravenously, greedily",i1kk-gatugatu.mp4,1,46095.5
18,13344171.0,condition-3,1.0,i6,interoceptive,i6kh-girigiri.mp4,i6hk-noNbiri.mp4,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner",i6hk-noNbiri.mp4,1,24709.499999988067
18,13344171.0,condition-3,2.0,a1,auditory,a1kh-batyabatya.mp4,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,splashing,a1kh-batyabatya.mp4,1,14400.999999988067
18,13344171.0,condition-3,3.0,i4,interoceptive,i4kh-dogimagi.mp4,i4hk-tyaNto.mp4,i4hk-tyaNto.mp4,"attentive, proper attitude",i4hk-tyaNto.mp4,1,10469.700000011915
18,13344171.0,condition-3,4.0,a0,auditory,a0hk-gosogoso.mp4,a0kh-katakata.mp4,a0hk-gosogoso.mp4,with a rustling sound,a0hk-gosogoso.mp4,1,29206.700000023848
18,13344171.0,condition-3,5.0,v3,visual,v3kh-hirahira.mp4,v3hk-pitari.mp4,v3kh-hirahira.mp4,"fluttering, dangling",v3hk-pitari.mp4,0,9841.000000023836
18,13344171.0,condition-3,6.0,i9,interoceptive,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,i9kh-dokidoki.mp4,with a rapid heartbeat,i9kh-dokidoki.mp4,1,13745.799999988085
18,13344171.0,condition-3,7.0,a8,auditory,a8hk-bosori.mp4,a8kh-kyaakyaa.mp4,a8hk-bosori.mp4,"in a whisper, in a murmur",a8hk-bosori.mp4,1,10171.39999998809
